CO2_Emissions,Make_Acura,Make_Alfa Romeo,Make_Aston Martin,Make_Audi,Make_BMW,Make_Bentley,Make_Bugatti,Make_Buick,Make_Cadillac,Make_Chevrolet,Make_Chrysler,Make_Dodge,Make_FIAT,Make_Ford,Make_GMC,Make_Genesis,Make_Honda,Make_Hyundai,Make_Infiniti,Make_Jaguar,Make_Jeep,Make_Kia,Make_Lamborghini,Make_Lexus,Make_Lincoln,Make_MINI,Make_Maserati,Make_Mazda,Make_Mercedes-Benz,Make_Mitsubishi,Make_Nissan,Make_Porsche,Make_Ram,Make_Rolls-Royce,Make_Subaru,Make_Toyota,Make_Volkswagen,Make_Volvo,Vehicle_Class_Compact,Vehicle_Class_Full-size,Vehicle_Class_Mid-size,Vehicle_Class_Minicompact,Vehicle_Class_Minivan,Vehicle_Class_Pickup truck: Small,Vehicle_Class_Pickup truck: Standard,Vehicle_Class_SUV: Small,Vehicle_Class_SUV: Standard,Vehicle_Class_Special purpose vehicle,Vehicle_Class_Station wagon: Mid-size,Vehicle_Class_Station wagon: Small,Vehicle_Class_Subcompact,Vehicle_Class_Two-seater,Vehicle_Class_Van: Passenger,Transmission_A10,Transmission_A6,Transmission_A8,Transmission_A9,Transmission_AM6,Transmission_AM7,Transmission_AM8,Transmission_AM9,Transmission_AS10,Transmission_AS5,Transmission_AS6,Transmission_AS7,Transmission_AS8,Transmission_AS9,Transmission_AV,Transmission_AV1,Transmission_AV10,Transmission_AV6,Transmission_AV7,Transmission_AV8,Transmission_M5,Transmission_M6,Transmission_M7,Engine_Size,Cylinders,Fuel_Consumption_in_City(L/100 km),Fuel_Consumption_in_City_Hwy(L/100 km),Fuel_Consumption_comb(L/100km)
247,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15482840230090925,0.14341053088439398,-0.20043854995395494,-0.09310938942520497,-0.16060540419509206
214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8754085722926971,-0.868580762526236,-0.6308045424683787,-0.6801138647692775,-0.6491772705473489
227,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15482840230090925,0.14341053088439398,-0.45865814546260925,-0.4994971031249477,-0.47468731827868577
227,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15482840230090925,0.14341053088439398,-0.45865814546260925,-0.4994971031249477,-0.47468731827868577
267,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.15482840230090925,0.14341053088439398,0.28730957489572506,-0.18341777024736966,0.15347650988850162
308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5657517676908785,1.155401824295024,0.8324398320806619,0.49389508591886794,0.7467423476019559
218,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.8754085722926971,-0.868580762526236,-0.5447313439654942,-0.7252680551803599,-0.6142792800936158
239,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.8754085722926971,-0.868580762526236,-0.22912961612158358,-0.4091887223027822,-0.30019736601002267
217,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8754085722926971,-0.868580762526236,-0.6881866748036355,-0.45434291271386457,-0.6142792800936158
217,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8754085722926971,-0.868580762526236,-0.6881866748036355,-0.45434291271386457,-0.6142792800936158
